MeasureItem	Year	Month	Value	ProvidedValue	AVG_Value	FromCountryMapCode	ToCountryMapCode	MeasureTime	Direction	Flag	FromCountryMemberType	ToCountryMemberType	CreatedDateTime	UpdatedDateTime
Physical Energy & Power Flows	2025	2	27	27	27	AT	SI	Monthly Value	Import	Harmonized	M	M	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	3	203	203	203	AT	SI	Monthly Value	Export	Harmonized	M	M	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	3	149	149	149	AT	SI	Monthly Value	Import	Harmonized	M	M	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	4	373	373	373	AT	SI	Monthly Value	Export	Harmonized	M	M	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	4	53	53	53	AT	SI	Monthly Value	Import	Harmonized	M	M	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	5	566	566	566	AT	SI	Monthly Value	Export	Harmonized	M	M	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	5	7	7	7	AT	SI	Monthly Value	Import	Harmonized	M	M	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	6	644	644	644	AT	SI	Monthly Value	Export	Harmonized	M	M	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	6	13	13	13	AT	SI	Monthly Value	Import	Harmonized	M	M	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	7	732	732	732	AT	SI	Monthly Value	Export	Harmonized	M	M	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	7	5	5	5	AT	SI	Monthly Value	Import	Harmonized	M	M	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	8	449	449	449	AT	SI	Monthly Value	Export	Harmonized	M	M	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	8	0	0	0	AT	SI	Monthly Value	Import	Harmonized	M	M	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	9	438	438	438	AT	SI	Monthly Value	Export	Harmonized	M	M	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	9	0	0	0	AT	SI	Monthly Value	Import	Harmonized	M	M	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	1	143	143	143	AZ	GE	Monthly Value	Export	Harmonized	NaM	NaM	2025-12-08 11:18:16	2025-12-08 11:18:16
